BenchmarkIndex/*main.GapBuffer_index_200000_at_50000-8   	1000000000	         0.002005 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_200000_at_100000-8  	1000000000	         0.005005 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_200000_at_150000-8  	1000000000	         0.0009148 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_200000_at_175000-8  	1000000000	         0.0009720 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_200000_at_199999-8  	1000000000	         0.008985 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_240000_const-8        	1000000000	         0.003352 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_240000_at_0-8         	1000000000	         0.006063 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_240000_at_30000-8     	1000000000	         0.003627 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_240000_at_60000-8     	1000000000	         0.002998 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_240000_at_120000-8    	1000000000	         0.005780 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_240000_at_180000-8    	1000000000	         0.006126 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_240000_at_210000-8    	1000000000	         0.0007550 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_240000_at_239999-8    	1000000000	         0.007066 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_240000_const-8      	1000000000	         0.001598 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_240000_at_0-8       	1000000000	         0.001008 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_240000_at_30000-8   	1000000000	         0.005390 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_240000_at_60000-8   	1000000000	         0.007141 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_240000_at_120000-8  	1000000000	         0.006880 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_240000_at_180000-8  	1000000000	         0.002814 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_240000_at_210000-8  	1000000000	         0.001002 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_240000_at_239999-8  	1000000000	         0.002584 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_280000_const-8        	1000000000	         0.002039 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_280000_at_0-8         	1000000000	         0.007250 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_280000_at_35000-8     	1000000000	         0.003000 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_280000_at_70000-8     	1000000000	         0.002041 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_280000_at_140000-8    	1000000000	         0.006405 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_280000_at_210000-8    	1000000000	         0.001018 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_280000_at_245000-8    	1000000000	         0.002027 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_280000_at_279999-8    	1000000000	         0.008982 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_280000_const-8      	1000000000	         0.005467 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_280000_at_0-8       	1000000000	         0.002983 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_280000_at_35000-8   	1000000000	         0.002051 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_280000_at_70000-8   	1000000000	         0.005985 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_280000_at_140000-8  	1000000000	         0.005110 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_280000_at_210000-8  	1000000000	         0.0005505 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_280000_at_245000-8  	1000000000	         0.003227 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_280000_at_279999-8  	1000000000	         0.0001061 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_320000_const-8        	1000000000	         0.003489 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_320000_at_0-8         	1000000000	         0.0009986 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_320000_at_40000-8     	1000000000	         0.0009989 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_320000_at_80000-8     	1000000000	         0.005960 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_320000_at_160000-8    	1000000000	         0.001002 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_320000_at_240000-8    	1000000000	         0.002021 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_320000_at_280000-8    	1000000000	         0.003048 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_320000_at_319999-8    	1000000000	         0.002010 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_320000_const-8      	1000000000	         0.008004 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_320000_at_0-8       	1000000000	         0.003021 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_320000_at_40000-8   	1000000000	         0.008004 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_320000_at_80000-8   	1000000000	         0.002997 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_320000_at_160000-8  	1000000000	         0.005034 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_320000_at_240000-8  	1000000000	         0.001724 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_320000_at_280000-8  	1000000000	         0.008995 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_320000_at_319999-8  	1000000000	         0.002002 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_360000_const-8        	1000000000	         0.01006 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_360000_at_0-8         	1000000000	         0.005807 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_360000_at_45000-8     	1000000000	         0.002021 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_360000_at_90000-8     	1000000000	         0.008074 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_360000_at_180000-8    	1000000000	         0.004983 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_360000_at_270000-8    	1000000000	         0.002032 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_360000_at_315000-8    	1000000000	         0.01006 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_360000_at_359999-8    	1000000000	         0.0009856 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_360000_const-8      	1000000000	         0.004995 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_360000_at_0-8       	1000000000	         0.002018 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_360000_at_45000-8   	1000000000	         0.006377 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_360000_at_90000-8   	1000000000	         0.007017 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_360000_at_180000-8  	1000000000	         0.009024 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_360000_at_270000-8  	1000000000	         0.007676 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_360000_at_315000-8  	1000000000	         0.0007067 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_360000_at_359999-8  	1000000000	         0.0009983 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_400000_const-8        	1000000000	         0.0009045 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_400000_at_0-8         	1000000000	         0.004837 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_400000_at_50000-8     	1000000000	         0.002051 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_400000_at_100000-8    	1000000000	         0.003665 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_400000_at_200000-8    	1000000000	         0.0005675 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_400000_at_300000-8    	1000000000	         0.001017 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_400000_at_350000-8    	1000000000	         0.006998 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_400000_at_399999-8    	1000000000	         0.001017 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_400000_const-8      	1000000000	         0.003996 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_400000_at_0-8       	1000000000	         0.003999 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_400000_at_50000-8   	1000000000	         0.006510 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_400000_at_100000-8  	1000000000	         0.007003 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_400000_at_200000-8  	1000000000	         0.001964 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_400000_at_300000-8  	1000000000	         0.003053 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_400000_at_350000-8  	1000000000	         0.003099 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_400000_at_399999-8  	1000000000	         0.002015 ns/op	       0 B/op	       0 allocs/op

BenchmarkIndex/*main.AVLRope_index_40000_const-8         	1000000000	         0.0005461 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_40000_at_0-8          	1000000000	         0.0005416 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_40000_at_5000-8       	1000000000	         0.0005382 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_40000_at_10000-8      	1000000000	         0.0005708 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_40000_at_20000-8      	1000000000	         0.0005583 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_40000_at_30000-8      	1000000000	         0.0005581 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_40000_at_35000-8      	1000000000	         0.0005441 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_40000_at_39999-8      	1000000000	         0.0005145 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_const-8       	1000000000	         0.0009731 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_at_0-8        	1000000000	         0.005483 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_at_5000-8     	1000000000	         0.0006443 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_at_10000-8    	1000000000	         0.004006 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_at_20000-8    	1000000000	         0.002003 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_at_30000-8    	1000000000	         0.007561 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_at_35000-8    	1000000000	         0.005017 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_40000_at_39999-8    	1000000000	         0.008817 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_const-8         	1000000000	         0.007362 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_at_0-8          	1000000000	         0.005033 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_at_10000-8      	1000000000	         0.01113 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_at_20000-8      	1000000000	         0.0000684 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_at_40000-8      	1000000000	         0.0001148 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_at_60000-8      	1000000000	         0.007895 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_at_70000-8      	1000000000	         0.002005 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_80000_at_79999-8      	1000000000	         0.003016 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_const-8       	1000000000	         0.006139 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_at_0-8        	1000000000	         0.007998 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_at_10000-8    	1000000000	         0.002033 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_at_20000-8    	1000000000	         0.008091 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_at_40000-8    	1000000000	         0.003000 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_at_60000-8    	1000000000	         0.0005511 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_at_70000-8    	1000000000	         0.002021 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_80000_at_79999-8    	1000000000	         0.002035 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_120000_const-8        	1000000000	         0.006055 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_120000_at_0-8         	1000000000	         0.007016 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_120000_at_15000-8     	1000000000	         0.008028 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_120000_at_30000-8     	1000000000	         0.004501 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_120000_at_60000-8     	1000000000	         0.01009 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_120000_at_90000-8     	1000000000	         0.0005362 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_120000_at_105000-8    	1000000000	         0.003995 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_120000_at_119999-8    	1000000000	         0.005076 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_120000_const-8      	1000000000	         0.002790 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_120000_at_0-8       	1000000000	         0.0009446 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_120000_at_15000-8   	1000000000	         0.01433 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_120000_at_30000-8   	1000000000	         0.006154 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_120000_at_60000-8   	1000000000	         0.007294 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_120000_at_90000-8   	1000000000	         0.009225 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_120000_at_105000-8  	1000000000	         0.004017 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_120000_at_119999-8  	1000000000	         0.007041 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_const-8        	1000000000	         0.008149 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_at_0-8         	1000000000	         0.001045 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_at_20000-8     	1000000000	         0.0005274 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_at_40000-8     	1000000000	         0.0008645 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_at_80000-8     	1000000000	         0.002195 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_at_120000-8    	1000000000	         0.0000659 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_at_140000-8    	1000000000	         0.004196 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.AVLRope_index_160000_at_159999-8    	1000000000	         0.001012 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_160000_const-8      	1000000000	         0.003092 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndex/*main.GapBuffer_index_160000_at_0-8       	1000000000	         0.0005932 ns/op	       0 B/op	       0 allocs/op
