BenchmarkInsert/*main.AVLRope_insert_400000_Start_100000-8   	1000000000	         0.01201 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Size_10000-8     	1000000000	         0.009000 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Start_200000-8   	1000000000	         0.01100 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Size_15000-8     	1000000000	         0.01001 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Start_300000-8   	1000000000	         0.01001 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Size_20000-8     	1000000000	         0.009997 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Start_400000-8   	1000000000	         0.009017 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.AVLRope_insert_400000_Size_25000-8     	1000000000	         0.008021 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_400000_Start_0-8      	1000000000	         0.02502 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsert/*main.GapBuffer_insert_400000_Start_50000-8  	1000000000	         0.1580 ns/op	       0 B/op	       0 allocs/op
