BenchmarkReport/*main.GapBuffer_report_400000-8      	1000000000	         0.007010 ns/op	       0 B/op	       0 allocs/op

BenchmarkReport/*main.AVLRope_report_40000-8         	1000000000	         0.01494 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_40000-8       	1000000000	         0.001017 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_80000-8         	1000000000	         0.005007 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_80000-8       	1000000000	         0.0009987 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_120000-8        	1000000000	         0.002995 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_120000-8      	1000000000	         0.002010 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_160000-8        	1000000000	         0.007681 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_160000-8      	1000000000	         0.0009598 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_200000-8        	1000000000	         0.002246 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_200000-8      	1000000000	         0.007060 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_240000-8        	1000000000	         0.002147 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_240000-8      	1000000000	         0.002049 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_280000-8        	1000000000	         0.004002 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_280000-8      	1000000000	         0.003005 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_320000-8        	1000000000	         0.01225 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_320000-8      	1000000000	         0.009230 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_360000-8        	1000000000	         0.009451 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_360000-8      	1000000000	         0.01051 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.AVLRope_report_400000-8        	1000000000	         0.01010 ns/op	       0 B/op	       0 allocs/op
BenchmarkReport/*main.GapBuffer_report_400000-8      	1000000000	         0.009999 ns/op	       0 B/op	       0 allocs/op
