BenchmarkDelete/*main.AVLRope_delete_diffLen_160000_20000:40000-8       	1000000000	         0.009994 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_160000_20000:40000-8     	1000000000	         0.009679 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_160000_20000:60000-8       	1000000000	         0.009999 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_160000_40000:60000-8     	1000000000	         0.01003 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_160000_20000:100000-8      	1000000000	         0.01056 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_160000_80000:100000-8    	1000000000	         0.009989 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_160000_20000:140000-8      	1000000000	         0.01311 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_160000_120000:140000-8   	1000000000	         0.009942 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_diffLen_160000_20000:159999-8      	1000000000	         0.006145 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_changePos_160000_140000:159999-8   	1000000000	         0.01003 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_160000_20000:40000-8     	1000000000	         0.009981 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_160000_20000:40000-8   	1000000000	         0.01222 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_160000_20000:60000-8     	1000000000	         0.01165 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_changePos_160000_40000:60000-8   	1000000000	         0.01002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_diffLen_160000_20000:100000-8    	1000000000	         0.01656 ns/op	       0 B/op	       0 allocs/op
