BenchmarkDelete/*main.AVLRope_delete_240000_const-8                 	1000000000	         0.005021 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_240000_0:239999-8              	1000000000	         0.006002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_240000_0:30000-8               	1000000000	         0.004996 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_240000_0:120000-8              	1000000000	         0.006036 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_240000_120000:239999-8         	1000000000	         0.005002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_240000_60000:180000-8          	1000000000	         0.006038 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_240000_210000:239999-8         	1000000000	         0.005003 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_240000_const-8               	1000000000	         0.01300 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_240000_0:239999-8            	1000000000	         0.01400 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_240000_0:30000-8             	1000000000	         0.01300 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_240000_0:120000-8            	1000000000	         0.01500 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_240000_120000:239999-8       	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_240000_60000:180000-8        	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_240000_210000:239999-8       	1000000000	         0.01102 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_280000_const-8                 	1000000000	         0.007006 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_280000_0:279999-8              	1000000000	         0.008001 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_280000_0:35000-8               	1000000000	         0.005996 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_280000_0:140000-8              	1000000000	         0.005935 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_280000_140000:279999-8         	1000000000	         0.006002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_280000_70000:210000-8          	1000000000	         0.006999 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_280000_245000:279999-8         	1000000000	         0.006005 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_280000_const-8               	1000000000	         0.01501 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_280000_0:279999-8            	1000000000	         0.01899 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_280000_0:35000-8             	1000000000	         0.01700 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_280000_0:140000-8            	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_280000_140000:279999-8       	1000000000	         0.01635 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_280000_70000:210000-8        	1000000000	         0.01900 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_280000_245000:279999-8       	1000000000	         0.01601 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_320000_const-8                 	1000000000	         0.007019 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_320000_0:319999-8              	1000000000	         0.008019 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_320000_0:40000-8               	1000000000	         0.006983 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_320000_0:160000-8              	1000000000	         0.007026 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_320000_160000:319999-8         	1000000000	         0.007994 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_320000_80000:240000-8          	1000000000	         0.007001 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.AVLRope_delete_320000_280000:319999-8         	1000000000	         0.008002 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_320000_const-8               	1000000000	         0.01800 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete/*main.GapBuffer_delete_320000_0:319999-8            	1000000000	         0.02000 ns/op	       0 B/op	       0 allocs/op
