BenchmarkAppend/*main.GapBuffer_Append_200000_175000-8    	1000000000	         0.02967 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_200000_200000-8    	1000000000	         0.02499 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_240000_2000-8        	1000000000	         0.01202 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_240000_30000-8       	1000000000	         0.01994 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_240000_60000-8       	1000000000	         0.04894 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_240000_120000-8      	1000000000	         0.01383 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_240000_180000-8      	1000000000	         0.01503 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_240000_210000-8      	1000000000	         0.01000 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_240000_240000-8      	1000000000	         0.01502 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_240000_2000-8      	1000000000	         0.03532 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_240000_30000-8     	1000000000	         0.02995 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_240000_60000-8     	1000000000	         0.03198 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_240000_120000-8    	1000000000	         0.03000 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_240000_180000-8    	1000000000	         0.02499 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_240000_210000-8    	1000000000	         0.08425 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.GapBuffer_Append_240000_240000-8    	1000000000	         0.06398 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_280000_2000-8        	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_280000_35000-8       	1000000000	         0.02502 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_280000_70000-8       	1000000000	         0.02031 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_280000_140000-8      	1000000000	         0.02031 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppend/*main.AVLRope_Append_280000_210000-8      	1000000000	         0.02022 ns/op	       0 B/op	       0 allocs/op
