BenchmarkSplit/*main.GapBuffer_split_320000_vary_240000-8         	1000000000	         0.01600 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_320000_vary_280000-8         	1000000000	         0.02100 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_360000_const-8                 	1000000000	         0.01000 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_360000_vary_45000-8            	1000000000	         0.008001 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_360000_vary_90000-8            	1000000000	         0.006412 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_360000_vary_180000-8           	1000000000	         0.009001 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_360000_vary_270000-8           	1000000000	         0.01002 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_360000_vary_315000-8           	1000000000	         0.01098 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_360000_const-8               	1000000000	         0.02100 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_360000_vary_45000-8          	1000000000	         0.02100 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_360000_vary_90000-8          	1000000000	         0.02500 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_360000_vary_180000-8         	1000000000	         0.02201 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_360000_vary_270000-8         	1000000000	         0.02301 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_360000_vary_315000-8         	1000000000	         0.01799 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_400000_const-8                 	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_400000_vary_50000-8            	1000000000	         0.01200 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_400000_vary_100000-8           	1000000000	         0.01101 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_400000_vary_200000-8           	1000000000	         0.01000 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_400000_vary_300000-8           	1000000000	         0.01099 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.AVLRope_split_400000_vary_350000-8           	1000000000	         0.01102 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_400000_const-8               	1000000000	         0.02221 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_400000_vary_50000-8          	1000000000	         0.02402 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_400000_vary_100000-8         	1000000000	         0.02400 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_400000_vary_200000-8         	1000000000	         0.02302 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_400000_vary_300000-8         	1000000000	         0.02100 ns/op	       0 B/op	       0 allocs/op
BenchmarkSplit/*main.GapBuffer_split_400000_vary_350000-8         	1000000000	         0.02225 ns/op	       0 B/op	       0 allocs/op

